,precision,recall,f1-score,support
Anxiety,0.8025210084033614,0.74609375,0.7732793522267206,768.0
Bipolar,0.8199608610567515,0.7535971223021583,0.7853795688847235,556.0
Depression,0.7054313099041534,0.7166504381694255,0.7109966189019482,3081.0
Normal,0.8814624393030562,0.9440195778525543,0.9116691285081241,3269.0
Personality disorder,0.7471264367816092,0.6046511627906976,0.6683804627249358,215.0
Stress,0.6483253588516746,0.5241779497098646,0.5796791443850268,517.0
Suicidal,0.665390138822403,0.652275926794932,0.6587677725118484,2131.0
accuracy,0.7665369649805448,0.7665369649805448,0.7665369649805448,0.7665369649805448
macro avg,0.7528882218747156,0.7059237039456617,0.7268788640204754,10537.0
weighted avg,0.7631139540061331,0.7665369649805448,0.7638423258133868,10537.0
